canon_smiles,iso_smiles
COc1cccc(NC(=O)N2CCc3ccccc3C2)c1,COc1cccc(NC(=O)N2CCc3ccccc3C2)c1
N#Cc1c(NC(=O)C[NH+]2CCCCC2)sc2c1CCCC2,N#Cc1c(NC(=O)C[NH+]2CCCCC2)sc2c1CCCC2
O=C(Nc1ccccc1Sc1ccccc1)c1cccs1,O=C(Nc1ccccc1Sc1ccccc1)c1cccs1
Cc1cc(Cl)ccc1OCCOCC[NH+]1CCC(C)CC1,Cc1cc(Cl)ccc1OCCOCC[NH+]1CCC(C)CC1
COc1c(-c2ccccc2)oc2cccc(OC)c2c1=O,COc1c(-c2ccccc2)oc2cccc(OC)c2c1=O
COc1cccc(C(CC(=O)[O-])NC(=O)OC(C)(C)C)c1,COc1cccc([C@H](CC(=O)[O-])NC(=O)OC(C)(C)C)c1
CC(C)C(C)NC(=O)CSc1nnc(-c2cccs2)n1N,CC(C)[C@H](C)NC(=O)CSc1nnc(-c2cccs2)n1N
CCS(=O)(=O)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,CCS(=O)(=O)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1
COc1ccc2c(c1)CCC1OC(c3cccnc3)OC21,COc1ccc2c(c1)CC[C@H]1O[C@@H](c3cccnc3)O[C@H]21
CC(CCc1ccccc1)NS(=O)(=O)Cc1ccccc1,C[C@@H](CCc1ccccc1)NS(=O)(=O)Cc1ccccc1
O=C(COC(=O)Cc1ccc(Cl)cc1)NCc1ccco1,O=C(COC(=O)Cc1ccc(Cl)cc1)NCc1ccco1
Cc1ccc(C(=O)Nc2nc3c(C)cccc3s2)cc1C,Cc1ccc(C(=O)Nc2nc3c(C)cccc3s2)cc1C
CC1CCC[NH+](C2CC[NH+](Cc3ccccc3Cl)CC2)C1,C[C@@H]1CCC[NH+](C2CC[NH+](Cc3ccccc3Cl)CC2)C1
O=C([O-])C1CCCCC1C(=O)N1CCc2ccccc2C1,O=C([O-])[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2C1
CS(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1C#N,CS(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1C#N
Fc1ccc(C(Nc2nncs2)Nc2nncs2)cc1F,Fc1ccc(C(Nc2nncs2)Nc2nncs2)cc1F
N#Cc1c(N)c(C#N)c(-c2ccccc2)c2c1CCCC2,N#Cc1c(N)c(C#N)c(-c2ccccc2)c2c1CCCC2
N#Cc1cccc(NC(=O)c2ccc3ccccc3c2)c1,N#Cc1cccc(NC(=O)c2ccc3ccccc3c2)c1
CCOC(=O)CSc1nc2ccc(OCC)cc2cc1C,CCOC(=O)CSc1nc2ccc(OCC)cc2cc1C
CC(OC(=O)c1c[nH]c2ccccc12)C(=O)N1CCCC1,C[C@H](OC(=O)c1c[nH]c2ccccc12)C(=O)N1CCCC1
COC(=O)c1c(NC(=O)C2CCCCC2)sc2c1CCC2,COC(=O)c1c(NC(=O)C2CCCCC2)sc2c1CCC2
O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)C1CC1,O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)C1CC1
Cc1ccc(OC(C)C(=O)NCc2ccncc2)cc1C,Cc1ccc(O[C@H](C)C(=O)NCc2ccncc2)cc1C
CC(=O)Oc1cc2c3c(c1)C(C)=CC(C)(C)N3C(=O)C2=O,CC(=O)Oc1cc2c3c(c1)C(C)=CC(C)(C)N3C(=O)C2=O
CC(Sc1ccc(F)cc1)C(=O)Nc1ccccc1C#N,C[C@H](Sc1ccc(F)cc1)C(=O)Nc1ccccc1C#N
C[NH+](C)CCOC(=O)C(O)(c1ccccc1)C1CCCC1,C[NH+](C)CCOC(=O)[C@](O)(c1ccccc1)C1CCCC1
Cc1cc(C)n2nc(S(=O)(=O)Cc3ccccc3)nc2n1,Cc1cc(C)n2nc(S(=O)(=O)Cc3ccccc3)nc2n1
Cc1ccc2ccc(S(=O)(=O)N3CCC(C)CC3)cc2c1,Cc1ccc2ccc(S(=O)(=O)N3CCC(C)CC3)cc2c1
CCC(C)OC(=O)CCC(=O)Nc1nc2ccccc2s1,CC[C@H](C)OC(=O)CCC(=O)Nc1nc2ccccc2s1
CSc1nc(N)nc(SCc2c(F)cccc2Cl)c1C#N,CSc1nc(N)nc(SCc2c(F)cccc2Cl)c1C#N
O=S1(=O)N=C(Sc2nc3ccccc3o2)c2ccccc21,O=S1(=O)N=C(Sc2nc3ccccc3o2)c2ccccc21
CCCCC([NH2+]CC(C)(O)C#Cc1ccccc1)C(=O)[O-],CCCC[C@@H]([NH2+]C[C@@](C)(O)C#Cc1ccccc1)C(=O)[O-]
COC(=O)C1C2CC(=O)C(c3ccccc32)C1C(=O)OC,COC(=O)[C@H]1[C@@H]2C(=O)C[C@@H](c3ccccc32)[C@@H]1C(=O)OC
CC(C)C(NS(=O)(=O)c1ccc2c(c1)OCCO2)C(C)C,CC(C)C(NS(=O)(=O)c1ccc2c(c1)OCCO2)C(C)C
CC(C)Nc1nnc(SCC(=O)Nc2sccc2C#N)s1,CC(C)Nc1nnc(SCC(=O)Nc2sccc2C#N)s1
COc1ccc(NC(=O)NC2CCCCCC2)cc1OC,COc1ccc(NC(=O)NC2CCCCCC2)cc1OC
COCCCNC(=O)NC1CC(=O)N(c2ccccc2)C1,COCCCNC(=O)N[C@H]1CC(=O)N(c2ccccc2)C1
O=c1[nH]c(-c2cccs2)nc2scc(-c3ccccc3)c12,O=c1[nH]c(-c2cccs2)nc2scc(-c3ccccc3)c12
Cc1ccc(NCN2C(=O)C(=O)c3cc(Br)ccc32)cc1,Cc1ccc(NCN2C(=O)C(=O)c3cc(Br)ccc32)cc1
Cn1c(SCC(=O)c2ccccc2)nnc1-c1cccs1,Cn1c(SCC(=O)c2ccccc2)nnc1-c1cccs1
CCc1ccc(NC(=O)CNc2ccc(OC)cc2)cc1,CCc1ccc(NC(=O)CNc2ccc(OC)cc2)cc1
CCN(C(=O)COc1ccc(Br)cc1C)c1ccccc1,CCN(C(=O)COc1ccc(Br)cc1C)c1ccccc1
OCC(O)CSc1nc(-c2ccccc2)nc2c1CCC2,OC[C@@H](O)CSc1nc(-c2ccccc2)nc2c1CCC2
COc1ccc(NC(=O)CSc2nc(C)cs2)cc1OC,COc1ccc(NC(=O)CSc2nc(C)cs2)cc1OC
COc1cc(SC)ccc1C(=O)Nc1nc2c(s1)CCC2,COc1cc(SC)ccc1C(=O)Nc1nc2c(s1)CCC2
CC(=O)NC(C(=O)OCC(=O)c1ccc(Br)cc1)=C(C)C,CC(=O)NC(C(=O)OCC(=O)c1ccc(Br)cc1)=C(C)C
Cc1nc(SC(C)C(=O)NC2CC2)n(C2CCCC2)c1C,Cc1nc(S[C@H](C)C(=O)NC2CC2)n(C2CCCC2)c1C
CC1(C[NH+]2CCCCC2)COc2c(Br)cc(Br)cc2C1=O,C[C@@]1(C[NH+]2CCCCC2)COc2c(Br)cc(Br)cc2C1=O
COc1cccc(OCCCOc2ccc(C)c(C)c2)c1,COc1cccc(OCCCOc2ccc(C)c(C)c2)c1
c1cc(-c2nc(-c3ccc4c(c3)OCCCO4)cs2)on1,c1cc(-c2nc(-c3ccc4c(c3)OCCCO4)cs2)on1
O=C([O-])c1c2ccccc2nc2c1oc1cc(O)ccc12,O=C([O-])c1c2ccccc2nc2c1oc1cc(O)ccc12
NC1=NC(c2ccccc2)N(c2ccccc2Cl)C(N)=N1,NC1=N[C@@H](c2ccccc2)N(c2ccccc2Cl)C(N)=N1
CCC(C)c1cc(S(=O)(=O)N2CCCCC2)ccc1OC,CC[C@@H](C)c1cc(S(=O)(=O)N2CCCCC2)ccc1OC
C=CCn1c(NCc2ccc(C)cc2)nc2ccccc21,C=CCn1c(NCc2ccc(C)cc2)nc2ccccc21
CC(=O)NC(Nc1ccc(Br)c[nH+]1)(C(F)(F)F)C(F)(F)F,CC(=O)NC(Nc1ccc(Br)c[nH+]1)(C(F)(F)F)C(F)(F)F
O=C1C(=O)N(CCOc2ccccc2Cl)c2ccccc21,O=C1C(=O)N(CCOc2ccccc2Cl)c2ccccc21
COc1ccc(C(=O)Cc2cc(OC)cc(OC)c2)cc1,COc1ccc(C(=O)Cc2cc(OC)cc(OC)c2)cc1
CCCC(C)NC(=O)CN(c1ccc(F)cc1)S(C)(=O)=O,CCC[C@H](C)NC(=O)CN(c1ccc(F)cc1)S(C)(=O)=O
COc1ccccc1C(=O)Nc1ccc(C(F)(F)F)cc1,COc1ccccc1C(=O)Nc1ccc(C(F)(F)F)cc1
COC(=O)C[NH+]1CCN(c2cccc3c2CCCC3)CC1,COC(=O)C[NH+]1CCN(c2cccc3c2CCCC3)CC1
O=C(c1cc(-c2ccc(F)cc2)on1)N1CCCCCC1,O=C(c1cc(-c2ccc(F)cc2)on1)N1CCCCCC1
Cc1ccc(S(=O)(=O)Nc2cccc3cnccc23)cc1,Cc1ccc(S(=O)(=O)Nc2cccc3cnccc23)cc1
Cc1cccc(-c2cc(C(=O)[O-])c3cc(C)ccc3n2)c1,Cc1cccc(-c2cc(C(=O)[O-])c3cc(C)ccc3n2)c1
NC(=O)Cn1cnc2c(cnn2-c2ccc(F)cc2)c1=O,NC(=O)Cn1cnc2c(cnn2-c2ccc(F)cc2)c1=O
CC(C)(C)OC(=O)N1CCCC1(Cc1cscn1)C(=O)[O-],CC(C)(C)OC(=O)N1CCC[C@@]1(Cc1cscn1)C(=O)[O-]
CC(C)CC(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(C)CC(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
CC(C)(Oc1ccccc1)C(=O)Nc1ccccc1C#N,CC(C)(Oc1ccccc1)C(=O)Nc1ccccc1C#N
O=C(Cc1c(Cl)cccc1Cl)NCCSc1ccccc1,O=C(Cc1c(Cl)cccc1Cl)NCCSc1ccccc1
CC(CCc1ccc(O)cc1)[NH2+]Cc1ccc(Cl)cc1Cl,C[C@H](CCc1ccc(O)cc1)[NH2+]Cc1ccc(Cl)cc1Cl
Nc1nccc(-c2nn(-c3ccc(Cl)cc3)ccc2=O)n1,Nc1nccc(-c2nn(-c3ccc(Cl)cc3)ccc2=O)n1
Cc1ccc(C(=O)OCC(=O)c2cc(C)ccc2C)cc1,Cc1ccc(C(=O)OCC(=O)c2cc(C)ccc2C)cc1
CCCSc1nc(=O)c2c3c(sc2[nH]1)COC(C)(CC)C3,CCCSc1nc(=O)c2c3c(sc2[nH]1)CO[C@@](C)(CC)C3
O=C1CC(c2ccccc2F)c2cc3c(cc2N1)OCO3,O=C1C[C@H](c2ccccc2F)c2cc3c(cc2N1)OCO3
Cc1cc(OCc2ccc(C(=O)[O-])o2)c(C(C)C)cc1Cl,Cc1cc(OCc2ccc(C(=O)[O-])o2)c(C(C)C)cc1Cl
Cc1ccccc1NC(=O)COc1c(C)ccc(C)c1C,Cc1ccccc1NC(=O)COc1c(C)ccc(C)c1C
Cc1cc(NC(=O)COC(=O)c2ccc(Cl)cc2Cl)no1,Cc1cc(NC(=O)COC(=O)c2ccc(Cl)cc2Cl)no1
CC1CCc2c(sc(NC(=O)c3cnccn3)c2C#N)C1,C[C@@H]1CCc2c(sc(NC(=O)c3cnccn3)c2C#N)C1
CCn1cnc2cc(NCc3ccccc3OC)ccc21,CCn1cnc2cc(NCc3ccccc3OC)ccc21
Nc1cc(N)nc(SCC(=O)Nc2ccc(F)c(Cl)c2)n1,Nc1cc(N)nc(SCC(=O)Nc2ccc(F)c(Cl)c2)n1
Cc1nnc(Nc2c3ccccc3[nH+]c3ccccc23)s1,Cc1nnc(Nc2c3ccccc3[nH+]c3ccccc23)s1
CCC(C)NC(=O)COC(=O)c1[nH]c(C)c(C(C)=O)c1C,CC[C@H](C)NC(=O)COC(=O)c1[nH]c(C)c(C(C)=O)c1C
CC(=O)NCCNC(=O)c1ccc(S(=O)(=O)C(F)F)cc1,CC(=O)NCCNC(=O)c1ccc(S(=O)(=O)C(F)F)cc1
CC(C)OC(=O)c1ccsc1NC(=O)c1cccc(Cl)c1,CC(C)OC(=O)c1ccsc1NC(=O)c1cccc(Cl)c1
CC(=O)Nc1ccc(NC(=O)c2ccc(F)cc2Cl)cc1,CC(=O)Nc1ccc(NC(=O)c2ccc(F)cc2Cl)cc1
CC(C)C(=O)Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1,CC(C)C(=O)Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
CCOc1ccc(C[NH2+]C2C3CC4CC(C3)CC2C4)cc1,CCOc1ccc(C[NH2+]C2C3CC4CC(C3)CC2C4)cc1
O=C(Nc1cnc2ccccn2c1=O)c1ccc(Cl)cc1,O=C(Nc1cnc2ccccn2c1=O)c1ccc(Cl)cc1
CCCCN(C)C(=O)c1sc2ncn(CC)c(=O)c2c1C,CCCCN(C)C(=O)c1sc2ncn(CC)c(=O)c2c1C
CC(=O)c1cc(C(=O)c2ccc(Cl)cc2)n2ncccc12,CC(=O)c1cc(C(=O)c2ccc(Cl)cc2)n2ncccc12
Cc1ccnc2nc(C(=O)Nc3ccc(Cl)cc3F)nn12,Cc1ccnc2nc(C(=O)Nc3ccc(Cl)cc3F)nn12
COc1ccc(NC(=O)COC(=O)C2CC2C)cc1OC,COc1ccc(NC(=O)COC(=O)[C@H]2C[C@@H]2C)cc1OC
Cc1nnc2c(Nc3cccc(Br)c3)nc3nonc3n12,Cc1nnc2c(Nc3cccc(Br)c3)nc3nonc3n12
CCC(CO)Nc1ncnc2c1cnn2-c1ccccc1,CC[C@@H](CO)Nc1ncnc2c1cnn2-c1ccccc1
O=C(COc1cccc(C(=O)[O-])c1)Nc1ccccc1Cl,O=C(COc1cccc(C(=O)[O-])c1)Nc1ccccc1Cl
Cc1ccc(CNC(=O)CCC(=O)NC2CCCCC2)o1,Cc1ccc(CNC(=O)CCC(=O)NC2CCCCC2)o1
Cc1cc2oc(=O)cc(CSc3ncccn3)c2cc1C,Cc1cc2oc(=O)cc(CSc3ncccn3)c2cc1C
COc1cccc(C(=O)Nc2cccc3cccnc23)c1,COc1cccc(C(=O)Nc2cccc3cccnc23)c1
Cc1nc(C)c(-c2csc(Nc3cc(Cl)ccc3C)n2)s1,Cc1nc(C)c(-c2csc(Nc3cc(Cl)ccc3C)n2)s1
O=C(Nc1cccc(Cl)c1)c1ccc(-n2cnnc2)cc1,O=C(Nc1cccc(Cl)c1)c1ccc(-n2cnnc2)cc1
CCCCS(=O)(=O)Nc1ccc2c(c1)CCN2S(C)(=O)=O,CCCCS(=O)(=O)Nc1ccc2c(c1)CCN2S(C)(=O)=O
CC(=O)Nc1ccc(C(=O)OCCc2ccccc2)cc1,CC(=O)Nc1ccc(C(=O)OCCc2ccccc2)cc1
CC(Sc1nnnn1C)C(=O)c1ccc(C(C)(C)C)cc1,C[C@H](Sc1nnnn1C)C(=O)c1ccc(C(C)(C)C)cc1
COc1ccc(S(=O)(=O)N=c2cc(C)cc[nH]2)cc1OC,COc1ccc(S(=O)(=O)/N=c2/cc(C)cc[nH]2)cc1OC
Fc1ccc2c(c1)C1C=CCC1C(c1ccccc1Cl)N2,Fc1ccc2c(c1)[C@H]1C=CC[C@@H]1[C@@H](c1ccccc1Cl)N2
Cc1ccc(C(=O)Cn2nnc3ccccc3c2=O)cc1,Cc1ccc(C(=O)Cn2nnc3ccccc3c2=O)cc1
Cc1ccccc1NC(=O)COC(=O)c1cccc(F)c1,Cc1ccccc1NC(=O)COC(=O)c1cccc(F)c1
CCn1cc(-c2cc(C(F)F)nc(SCC[NH3+])n2)c(C)n1,CCn1cc(-c2cc(C(F)F)nc(SCC[NH3+])n2)c(C)n1
COc1cccc(Nc2c3c(nc4ncnn24)CCC3)c1,COc1cccc(Nc2c3c(nc4ncnn24)CCC3)c1
CN(C)c1ccc(-c2nc3ccc(C(=O)[O-])cc3[nH]2)cc1,CN(C)c1ccc(-c2nc3ccc(C(=O)[O-])cc3[nH]2)cc1
Cc1cc(OCC(=O)N(C)c2ccccc2)cc(C)c1Cl,Cc1cc(OCC(=O)N(C)c2ccccc2)cc(C)c1Cl
COc1cc(C2[NH2+]CCC(=O)C2(C)C)cc(OC)c1OC,COc1cc([C@H]2[NH2+]CCC(=O)C2(C)C)cc(OC)c1OC
O=C([O-])C1C2C=CC3(CN(Cc4ccncc4)C(=O)C13)O2,O=C([O-])[C@H]1[C@@H]2C=C[C@@]3(CN(Cc4ccncc4)C(=O)[C@@H]13)O2
COc1ccc2c(Cl)c(C(=O)NCC3CCCO3)sc2c1,COc1ccc2c(Cl)c(C(=O)NC[C@@H]3CCCO3)sc2c1
CC(=O)c1c(C)[nH]c(C(=O)COC(=O)c2ccco2)c1C,CC(=O)c1c(C)[nH]c(C(=O)COC(=O)c2ccco2)c1C
CCOc1ccc(C(=O)NCCc2ccc(F)cc2)cc1,CCOc1ccc(C(=O)NCCc2ccc(F)cc2)cc1
COc1ccc(CC(=O)c2ccc(OCCO)cc2)cc1,COc1ccc(CC(=O)c2ccc(OCCO)cc2)cc1
CC(Sc1nnnn1C)C(=O)Nc1c(Cl)cc(Cl)cc1Cl,C[C@H](Sc1nnnn1C)C(=O)Nc1c(Cl)cc(Cl)cc1Cl
Cc1cc2ccccc2n1-c1ncc(C(F)(F)F)cc1Cl,Cc1cc2ccccc2n1-c1ncc(C(F)(F)F)cc1Cl
Cc1ccc(Cl)cc1NC(=O)CSc1nc(N)cc(=O)[nH]1,Cc1ccc(Cl)cc1NC(=O)CSc1nc(N)cc(=O)[nH]1
CC(C)(C)Sc1cccc(C(=O)[O-])c1S(=O)(=O)C(C)(C)C,CC(C)(C)Sc1cccc(C(=O)[O-])c1S(=O)(=O)C(C)(C)C
COc1ccc(NC(=O)NC(C)C2CCCO2)c(OC)c1,COc1ccc(NC(=O)N[C@@H](C)[C@@H]2CCCO2)c(OC)c1
O=C(CCc1cccc(F)c1)c1ccccc1C(F)(F)F,O=C(CCc1cccc(F)c1)c1ccccc1C(F)(F)F
O=C(NCc1cccnc1)c1cccc2c(Br)cccc12,O=C(NCc1cccnc1)c1cccc2c(Br)cccc12
CC(C)CSc1ccc2c(c1)C(=O)Cc1ccccc1S2,CC(C)CSc1ccc2c(c1)C(=O)Cc1ccccc1S2
Cc1cc2c(cc1C)C(c1ccc(Cl)cc1Cl)CC(=O)N2,Cc1cc2c(cc1C)[C@H](c1ccc(Cl)cc1Cl)CC(=O)N2
COc1ccc(C2CC(=O)CC(=O)C2n2cncn2)cc1,COc1ccc([C@@H]2CC(=O)CC(=O)[C@H]2n2cncn2)cc1
O=C1C2CC[NH+](CC2)C1Cc1ccc2ccccc2c1O,O=C1C2CC[NH+](CC2)[C@H]1Cc1ccc2ccccc2c1O
CCOC(=O)c1cc(S(=O)(=O)NC2CCCCC2)cn1C,CCOC(=O)c1cc(S(=O)(=O)NC2CCCCC2)cn1C
CCN(Cc1ccncc1)C(=O)c1csc2c1CCCC2,CCN(Cc1ccncc1)C(=O)c1csc2c1CCCC2
CC(C)(C)Nc1ncnc2c1cnn2Cc1ccccc1,CC(C)(C)Nc1ncnc2c1cnn2Cc1ccccc1
CCCNC(=O)CSc1nnc(-c2ccc(Cl)cc2)n1C,CCCNC(=O)CSc1nnc(-c2ccc(Cl)cc2)n1C
NC(=O)c1ccccc1OCC(=O)Nc1ccc(I)cc1,NC(=O)c1ccccc1OCC(=O)Nc1ccc(I)cc1
CC1CCCC(NC(=O)Cn2cc3c(n2)CCCC3)C1C,C[C@H]1CCC[C@H](NC(=O)Cn2cc3c(n2)CCCC3)[C@@H]1C
Cc1ccc(C(=O)Nc2ccc(OC(C)C)cc2)cc1C,Cc1ccc(C(=O)Nc2ccc(OC(C)C)cc2)cc1C
CC(C)c1ccccc1NC(=O)COC(=O)c1ccco1,CC(C)c1ccccc1NC(=O)COC(=O)c1ccco1
COCCNC(=O)C1CC(=O)N(CCc2ccccc2)C1,COCCNC(=O)[C@@H]1CC(=O)N(CCc2ccccc2)C1
CNC(=O)C1CCN(S(=O)(=O)c2ccc(OC)cc2)CC1,CNC(=O)C1CCN(S(=O)(=O)c2ccc(OC)cc2)CC1
Cc1ccc(C(=O)OCC(=O)NCc2ccccc2Cl)o1,Cc1ccc(C(=O)OCC(=O)NCc2ccccc2Cl)o1
CCN(CC)C(=O)NC1(C(F)(F)F)Oc2ccccc2O1,CCN(CC)C(=O)NC1(C(F)(F)F)Oc2ccccc2O1
COc1cc(CNc2cc(C)cc(C)c2)cc2c1OCO2,COc1cc(CNc2cc(C)cc(C)c2)cc2c1OCO2
COC(=O)c1nnn(-c2ccc(C)c(Cl)c2)c1C(=O)OC,COC(=O)c1nnn(-c2ccc(C)c(Cl)c2)c1C(=O)OC
COC(=O)C(CC(C)C)NC(=O)c1cc(Cl)ccc1OC,COC(=O)[C@H](CC(C)C)NC(=O)c1cc(Cl)ccc1OC
COc1cc(S(=O)(=O)NCc2cccs2)c(OC)cc1C,COc1cc(S(=O)(=O)NCc2cccs2)c(OC)cc1C
CCc1ccccc1OCC(=O)Nc1ccccc1OC,CCc1ccccc1OCC(=O)Nc1ccccc1OC
Cc1c(Cl)cccc1NC(=O)c1ccc2c(c1)OCCO2,Cc1c(Cl)cccc1NC(=O)c1ccc2c(c1)OCCO2
Nc1ncn(CC(O)CO)c2nc(N3CCOCC3)nc1-2,Nc1ncn(C[C@@H](O)CO)c2nc(N3CCOCC3)nc1-2
CC(=O)OCC#CCSc1nnc(-c2cccc(Br)c2)o1,CC(=O)OCC#CCSc1nnc(-c2cccc(Br)c2)o1
CSc1ccc2nc(NC(=O)Cc3ccccc3)sc2c1,CSc1ccc2nc(NC(=O)Cc3ccccc3)sc2c1
CCc1ccc(S(=O)(=O)N2CCN(C(=O)OC)CC2)cc1,CCc1ccc(S(=O)(=O)N2CCN(C(=O)OC)CC2)cc1
O=C(CSc1ccc2ccccc2n1)c1ccc(Cl)cc1,O=C(CSc1ccc2ccccc2n1)c1ccc(Cl)cc1
C=CCNC(=O)CSc1nnc(C(C)n2ccc(C)n2)o1,C=CCNC(=O)CSc1nnc([C@H](C)n2ccc(C)n2)o1
CSc1ccc(S(=O)(=O)Nc2ccc3c(c2)OCO3)cc1,CSc1ccc(S(=O)(=O)Nc2ccc3c(c2)OCO3)cc1
COC(=O)C(C)(C)C1CCC2N(c3ccccc3)CC[NH+]21,COC(=O)C(C)(C)[C@H]1CC[C@H]2N(c3ccccc3)CC[NH+]21
CC(C)(C)c1ccc(C(=O)n2cnc3ccccc32)cc1,CC(C)(C)c1ccc(C(=O)n2cnc3ccccc32)cc1
CCn1c(SCC(=O)OC)nnc1-c1cccc(OC)c1,CCn1c(SCC(=O)OC)nnc1-c1cccc(OC)c1
Cc1ccc(C(=O)Nc2ccc3[nH]cc(C#N)c3c2)cc1,Cc1ccc(C(=O)Nc2ccc3[nH]cc(C#N)c3c2)cc1
CN(C)S(=O)(=O)c1ccc(NC(=O)c2ccccn2)cc1,CN(C)S(=O)(=O)c1ccc(NC(=O)c2ccccn2)cc1
O=C(Cc1ccccc1Cl)Nc1nc2ccc(Cl)cc2s1,O=C(Cc1ccccc1Cl)Nc1nc2ccc(Cl)cc2s1
CCc1nc2ccc(N3CC[NH+](C)CC3)cc2nc1CC,CCc1nc2ccc(N3CC[NH+](C)CC3)cc2nc1CC
CCC(O)c1nc2ccccc2n1Cc1ccccc1Cl,CC[C@H](O)c1nc2ccccc2n1Cc1ccccc1Cl
OC(C[NH2+]Cc1ccc2c(c1)OCO2)CSc1cccs1,O[C@@H](C[NH2+]Cc1ccc2c(c1)OCO2)CSc1cccs1
Cc1cccc2c(C(=O)[O-])cc(-c3ccc(F)cc3)nc12,Cc1cccc2c(C(=O)[O-])cc(-c3ccc(F)cc3)nc12
Cc1ccnc2nc(NC(=O)Cc3ccc(Cl)cc3)nn12,Cc1ccnc2nc(NC(=O)Cc3ccc(Cl)cc3)nn12
O=C1CC(c2ccc(S(=O)(=O)N3CCOCC3)cc2)CN1,O=C1C[C@H](c2ccc(S(=O)(=O)N3CCOCC3)cc2)CN1
CC(C)(C)OC(=O)N1CCCC1c1cccc(C(=O)[O-])c1,CC(C)(C)OC(=O)N1CCC[C@@H]1c1cccc(C(=O)[O-])c1
CCC(C(=O)NCCCN1CCCC1=O)c1ccccc1,CC[C@@H](C(=O)NCCCN1CCCC1=O)c1ccccc1
O=c1[nH]c([O-])ncc1S(=O)(=O)Nc1ccc2c(c1)OCO2,O=c1[nH]c([O-])ncc1S(=O)(=O)Nc1ccc2c(c1)OCO2
Nc1c(C2CCCCC2)c(=O)on1C(=O)c1ccccc1,Nc1c(C2CCCCC2)c(=O)on1C(=O)c1ccccc1
COc1cccc(CCC(=O)Nc2ccc(F)cc2)c1Cl,COc1cccc(CCC(=O)Nc2ccc(F)cc2)c1Cl
O=C(COC(=O)c1ccccc1)NCc1cccc(Cl)c1,O=C(COC(=O)c1ccccc1)NCc1cccc(Cl)c1
CC(=O)Nc1ccc(S(=O)(=O)NCC[NH+]2CCCC2)cc1,CC(=O)Nc1ccc(S(=O)(=O)NCC[NH+]2CCCC2)cc1
Cc1cc2c(NC(=O)Nc3ccccc3)cccc2nn1,Cc1cc2c(NC(=O)Nc3ccccc3)cccc2nn1
CC(=O)C(C)Oc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC(=O)[C@@H](C)Oc1ccc2c(C(F)(F)F)cc(=O)oc2c1
CCn1c(=O)c2c(nc(SCC(=O)NC)n2C)n(C)c1=O,CCn1c(=O)c2c(nc(SCC(=O)NC)n2C)n(C)c1=O
Cc1cc(C)cc(NC(=O)CC[NH+]2CC(C)CC(C)C2)c1,Cc1cc(C)cc(NC(=O)CC[NH+]2C[C@@H](C)C[C@@H](C)C2)c1
O=C(Nc1nc2c(ccc3ccccc32)s1)C1CCCC1,O=C(Nc1nc2c(ccc3ccccc32)s1)C1CCCC1
CCn1ncc(CNC(=O)C2CCCCC2C(=O)[O-])c1C,CCn1ncc(CNC(=O)[C@H]2CCCC[C@H]2C(=O)[O-])c1C
Cc1ccc(-c2csc(NC(=O)c3ccc(=O)[nH]c3)n2)o1,Cc1ccc(-c2csc(NC(=O)c3ccc(=O)[nH]c3)n2)o1
COc1ccc(Nc2nnc(SC3CCOC3=O)s2)cc1,COc1ccc(Nc2nnc(S[C@H]3CCOC3=O)s2)cc1
Cc1ccc(CC(=O)N(Cc2ccccc2)C(C)C)cc1,Cc1ccc(CC(=O)N(Cc2ccccc2)C(C)C)cc1
CCC(C)C(NC1=[NH+]C(C)(C)Cc2ccccc21)C(=O)[O-],CC[C@@H](C)[C@H](NC1=[NH+]C(C)(C)Cc2ccccc21)C(=O)[O-]
O=C(Nc1ccc(Cl)cc1)N(Cc1ccccn1)C1CC1,O=C(Nc1ccc(Cl)cc1)N(Cc1ccccn1)C1CC1
Nc1cc(=O)[nH]c(SCC(=O)NCc2cccc(Cl)c2)n1,Nc1cc(=O)[nH]c(SCC(=O)NCc2cccc(Cl)c2)n1
O=C(CCNC(=O)c1ccco1)NCc1ccc(F)cc1,O=C(CCNC(=O)c1ccco1)NCc1ccc(F)cc1
CC(=O)c1c(C)[nH]c(C(=O)COc2ccccc2F)c1C,CC(=O)c1c(C)[nH]c(C(=O)COc2ccccc2F)c1C
NC(=O)c1cc2n(n1)C(C(F)(F)F)CC(c1cccs1)N2,NC(=O)c1cc2n(n1)[C@H](C(F)(F)F)C[C@@H](c1cccs1)N2
CCOC(=O)c1ccc(NC(=O)c2ccccc2Cl)cc1,CCOC(=O)c1ccc(NC(=O)c2ccccc2Cl)cc1
COc1ccc(OC)c(NC(=O)Nc2ccc(Cl)cn2)c1,COc1ccc(OC)c(NC(=O)Nc2ccc(Cl)cn2)c1
